timestamp,elapsed_s,vehicles,total_cpu_percent,total_mem_mb,kuksa-databroker_cpu,kuksa-databroker_mem_mb,ditto-gateway_cpu,ditto-gateway_mem_mb,ditto-things_cpu,ditto-things_mem_mb,ditto-policies_cpu,ditto-policies_mem_mb,mongodb_cpu,mongodb_mem_mb
23:35:50,0.0,2,67.51,551.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:35:55,5.0,2,30.4,610.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:36:00,10.0,2,73.79,113.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:36:05,15.0,2,35.76,871.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:36:10,20.0,2,79.73,297.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:36:15,25.0,2,46.7,784.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:36:20,30.1,2,44.98,301.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:36:25,35.1,2,88.44,613.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:36:30,40.1,2,35.01,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:36:35,45.1,2,6.58,180.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:36:40,50.1,2,5.32,53.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:36:45,55.1,2,59.21,584.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
