timestamp,elapsed_s,vehicles,total_cpu_percent,total_mem_mb,kuksa-databroker_cpu,kuksa-databroker_mem_mb,ditto-gateway_cpu,ditto-gateway_mem_mb,ditto-things_cpu,ditto-things_mem_mb,ditto-policies_cpu,ditto-policies_mem_mb,mongodb_cpu,mongodb_mem_mb
23:31:06,0.0,1,97.08,890.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:31:11,5.0,1,41.32,845.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:31:16,10.0,1,16.95,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:31:22,15.0,1,82.69,187.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:31:27,20.0,1,4.06,892.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:31:32,25.0,1,36.34,675.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:31:37,30.1,1,92.13,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:31:42,35.1,1,57.98,123.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:31:47,40.1,1,93.02,885.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:31:52,45.1,1,32.41,484.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:31:57,50.1,1,84.82,688.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:32:02,55.1,1,94.09,464.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
